time,value
11:34:12,70
11:34:17,68
11:34:22,67
11:34:27,68
11:34:32,67
11:34:37,65
11:34:42,65
11:34:47,66
11:34:52,65
11:34:57,66
11:35:02,66
11:35:07,66
11:35:17,66
11:35:22,67
11:35:37,67
11:35:52,67
11:35:57,68
11:36:02,69
11:36:07,70
11:36:12,69
11:36:17,69
11:36:27,71
11:36:37,69
11:36:42,69
11:36:57,69
11:37:09,78
11:37:19,78
11:37:29,75
11:37:34,69
11:37:39,68
11:37:44,73
11:37:49,71
11:37:54,70
11:38:04,69
11:38:19,69
11:38:29,67
11:38:44,67
11:38:54,68
11:39:09,68
11:39:14,69
11:39:24,69
11:39:39,69
11:39:44,84
11:39:49,73
11:39:54,70
11:39:59,68
11:40:04,70
11:40:19,70
11:40:20,70
11:40:25,69
11:40:35,72
11:40:40,71
11:40:45,70
11:40:55,69
11:41:10,69
11:41:15,73
11:41:25,71
11:41:30,70
11:41:35,68
11:41:45,67
11:41:55,68
11:42:05,69
11:42:10,89
11:42:15,90
11:42:20,81
11:42:25,71
11:42:30,67
11:42:35,66
11:42:40,67
11:42:45,65
11:42:52,63
11:43:02,64
11:43:17,65
11:43:22,66
11:43:27,65
11:43:32,64
11:43:37,65
11:43:42,68
11:43:47,69
11:43:52,68
11:43:57,66
11:44:02,64
11:44:07,65
11:44:12,64
11:44:22,65
11:44:27,65
11:44:37,66
11:44:42,70
11:44:47,70
11:44:57,65
11:45:02,64
11:45:17,64
11:45:22,64
11:45:27,64
11:45:42,64
11:45:58,68
11:46:03,68
11:46:08,64
11:46:13,61
11:46:18,62
11:46:28,63
11:46:43,63
11:46:48,66
11:46:58,66
11:47:03,67
11:47:18,67
11:47:33,67
11:47:38,66
11:47:53,66
11:47:58,65
11:48:13,65
11:48:18,63
11:48:23,62
11:48:28,64
11:48:33,65
11:48:43,67
11:48:48,72
11:48:53,70
11:48:58,69
11:49:05,69
11:49:10,67
11:49:15,64
11:49:20,63
11:49:25,64
11:49:30,63
11:49:35,64
11:49:40,65
11:49:55,68
11:50:00,67
11:50:05,65
11:50:10,66
11:50:20,67
11:50:25,68
11:50:30,67
11:50:35,66
11:50:40,68
11:50:45,67
11:50:50,66
11:51:05,66
11:51:10,67
11:51:15,69
11:51:20,67
11:51:25,66
11:51:30,65
11:51:35,66
11:51:41,67
11:51:46,65
11:51:51,68
11:51:56,73
11:52:01,70
11:52:06,68
11:52:11,66
11:52:21,65
11:52:31,66
11:52:36,68
11:52:41,67
11:52:46,66
11:53:01,66
11:53:06,64
11:53:21,64
11:53:26,69
11:53:31,63
11:53:36,62
11:53:41,61
11:53:46,62
11:53:51,63
11:53:56,64
11:54:01,66
11:54:06,65
11:54:11,64
11:54:21,63
11:54:28,62
11:54:33,61
11:54:48,61
11:54:53,63
11:54:58,62
11:55:08,63
11:55:13,62
11:55:18,63
11:55:33,61
11:55:38,62
11:55:43,63
11:55:58,63
11:56:03,65
11:56:18,65
11:56:23,64
11:56:33,63
11:56:38,62
11:56:43,63
11:56:48,62
11:57:03,62
11:57:13,61
11:57:18,62
11:57:23,62
11:57:38,62
11:57:48,63
11:57:53,64
11:58:08,64
11:58:10,64
11:58:15,65
11:58:30,66
11:58:45,66
11:59:00,66
11:59:05,67
11:59:15,68
11:59:20,70
11:59:25,70
11:59:40,70
11:59:45,69
11:59:50,68
11:59:55,69
12:00:00,69
12:00:10,70
12:00:20,69
12:00:25,70
12:00:40,70
12:00:55,71
12:01:00,68
12:01:15,68
12:01:30,68
12:01:45,68
12:01:50,69
12:02:00,69
12:02:15,69
12:02:17,69
12:02:27,68
12:02:32,68
12:02:37,64
12:02:52,64
12:02:57,65
12:03:12,65
12:03:27,65
12:03:32,70
12:03:47,70
12:03:52,73
12:03:57,74
12:04:02,75
12:04:07,75
12:04:22,75
12:04:27,75
12:04:32,78
12:04:37,76
12:04:42,70
12:04:47,72
12:04:52,72
12:05:07,72
12:05:22,73
12:05:29,65
12:05:34,64
12:05:49,64
12:05:54,64
12:06:04,64
12:06:09,64
12:06:14,64
12:06:29,67
12:06:44,68
12:06:49,67
12:06:54,68
12:07:04,69
12:07:09,69
12:07:24,69
12:07:29,69
12:07:39,70
12:07:54,70
12:08:04,73
12:08:09,71
12:08:14,70
12:08:19,70
12:08:34,70
12:08:39,72
12:08:44,74
12:08:49,79
12:09:04,79
12:09:05,79
12:09:10,79
12:09:15,79
12:09:30,79
12:09:35,80
12:09:45,72
12:09:50,70
12:09:55,69
12:10:05,69
12:10:20,69
12:10:30,70
12:10:35,71
12:10:40,72
12:10:45,73
12:10:55,73
12:11:05,75
12:11:10,77
12:11:15,79
12:11:20,82
12:11:25,84
12:11:35,84
12:11:50,84
12:12:05,84
12:12:27,89
12:12:32,91
12:12:37,91
12:12:52,91
12:13:07,91
12:13:17,90
12:13:22,92
12:13:27,94
12:13:32,96
12:13:37,97
12:13:42,99
12:13:47,98
12:13:52,97
12:13:57,93
12:14:02,95
12:14:07,97
12:14:12,98
12:14:17,99
12:14:27,100
12:14:42,100
12:14:47,89
12:14:52,88
12:14:57,86
12:15:02,83
12:15:07,80
12:15:13,81
12:15:18,80
12:15:33,80
12:15:38,78
12:15:53,78
12:16:08,76
12:16:13,77
12:16:18,78
12:16:23,79
12:16:28,81
12:16:38,82
12:16:43,81
12:16:48,84
12:16:53,79
12:17:03,81
12:17:18,81
12:17:28,83
12:17:33,84
12:17:48,84
12:17:58,89
12:18:03,91
12:18:08,91
12:18:13,93
12:18:20,92
12:18:25,91
12:18:30,94
12:18:40,94
12:18:45,97
12:18:50,100
12:18:55,99
12:19:00,89
12:19:05,87
12:19:10,86
12:19:15,85
12:19:20,84
12:19:35,84
12:19:40,72
12:19:45,71
12:19:50,72
12:19:55,71
12:20:00,70
12:20:10,69
12:20:15,68
12:20:25,69
12:20:30,68
12:20:35,70
12:20:40,70
12:20:45,71
12:20:52,70
12:21:07,69
12:21:17,67
12:21:27,66
12:21:32,68
12:21:37,68
12:21:52,68
12:21:57,69
12:22:07,69
12:22:17,70
12:22:22,74
12:22:27,71
12:22:32,72
12:22:37,71
12:22:42,70
12:22:57,70
12:23:02,70
12:23:12,72
12:23:17,74
12:23:22,73
12:23:27,72
12:23:37,71
12:23:52,71
12:23:57,71
12:24:02,72
12:24:07,71
12:24:12,70
12:24:18,72
12:24:23,74
12:24:28,75
12:24:43,75
12:24:58,75
12:25:13,74
12:27:35,72
12:27:50,72
12:27:55,72
12:28:10,72
12:28:20,76
12:28:25,76
12:28:40,76
12:28:45,76
12:28:50,76
12:29:05,76
12:29:10,75
12:29:15,76
12:29:30,76
12:29:45,76
12:29:50,77
12:29:55,78
12:30:05,79
12:30:15,80
12:30:25,82
12:30:30,81
12:30:35,82
12:30:50,82
12:30:55,81
